lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.218858880012418,40.99562326478775,85.99562326478775,85.99562326478775,0.3935,SfccfF
36-686,84-279,27.0,45.0,12.49067818361088,42.85078129278702,87.85078129278702,87.85078129278702,0.341,SfccfF
LA4002,LA4003,25.0,35.0,12.218858880012418,37.903693218122314,72.90369321812231,72.90369321812231,0.321,SfccfF
LA4002,84-280,25.0,60.0,13.671697538229953,47.49590949996927,107.49590949996927,107.49590949996927,0.309,SfccfF
84-277,LA4003,25.0,35.0,12.218858880012418,37.903693218122314,72.90369321812231,72.90369321812231,0.3035,SfccfF
LA4002,LA4130,25.0,40.1,12.218858880012418,39.48057754192168,79.58057754192168,79.58057754192168,0.3005,SfccfF
LA4002,LA4042,25.0,60.0,13.671697538229953,47.49590949996927,107.49590949996927,107.49590949996927,0.2885,SfccfF
LA4002,LA4936,25.0,30.1,12.218858880012418,36.38864749525625,66.48864749525626,66.48864749525626,0.28,SfccfF
LA4002,84-278,25.0,30.0,12.218858880012418,36.357728194789594,66.35772819478959,66.35772819478959,0.2795,SfccfF
48-024,LA4936,25.0,30.1,12.218858880012418,36.38864749525625,66.48864749525626,66.48864749525626,0.279,SfccfF
84-277,84-278,25.0,30.0,12.218858880012418,36.357728194789594,66.35772819478959,66.35772819478959,0.2735,SfccfF
48-024,84-278,25.0,30.0,12.218858880012418,36.357728194789594,66.35772819478959,66.35772819478959,0.2735,SfccfF
84-277,LA4936,25.0,30.1,12.218858880012418,36.38864749525625,66.48864749525626,66.48864749525626,0.273,SfccfF
LA4002,LA4765,25.0,50.2,13.671697538229953,44.306555982519896,94.5065559825199,94.5065559825199,0.263,SfccfF
36-686,LA4003,27.0,35.0,12.49067818361088,39.75885124612158,74.75885124612158,74.75885124612158,0.261,SfccfF
36-686,84-280,27.0,60.0,14.100297991995777,49.44857491881584,109.44857491881584,109.44857491881584,0.2485,SfccfF
LA4002,84-279,25.0,45.0,13.671697538229953,42.61424595285288,87.61424595285288,87.61424595285288,0.2365,SfccfF
36-686,LA4936,27.0,30.1,12.49067818361088,38.24380552325551,68.34380552325551,68.34380552325551,0.236,SfccfF
36-686,84-278,27.0,30.0,12.49067818361088,38.21288622278885,68.21288622278885,68.21288622278885,0.223,SfccfF
84-277,84-280,25.0,60.0,13.671697538229953,47.49590949996927,107.49590949996927,107.49590949996927,0.218,SfccfF
84-277,LA4765,25.0,50.2,13.671697538229953,44.306555982519896,94.5065559825199,94.5065559825199,0.198,SfccfF
